id;source_of_application;student_id;application_date;completion_date;admission_no;admission_date;comments;application_status;created_by;created_on;updated_by;updated_on
1;Checking Account;98046;2019-11-19;2019-11-19;58991;2019-11-19;Jamaica Unbranded;real-time Berkshire solid state;middleware Switzerland;2019-11-19;back-end Via indexing;2019-11-19
2;Practical Steel Chips;62080;2019-11-19;2019-11-19;32875;2019-11-20;Illinois robust;Granite Rubber;enable;2019-11-19;Mouse Rupiah;2019-11-19
3;RSS Buckinghamshire Officer;60193;2019-11-20;2019-11-20;4086;2019-11-19;B2B;Chair Awesome;Kiribati;2019-11-19;Regional;2019-11-20
4;open architecture alliance;9229;2019-11-19;2019-11-19;62790;2019-11-19;Cambridgeshire;Regional;Home;2019-11-19;Handmade Savings Account Manager;2019-11-19
5;Central Polarised;75995;2019-11-19;2019-11-19;46253;2019-11-19;Small Wooden Ball Metal Bond Markets Units European Composite Unit (EURCO);Buckinghamshire Antarctica (the territory South of 60 deg S) Refined;back-end enhance;2019-11-20;interface;2019-11-20
6;Kentucky;84070;2019-11-20;2019-11-20;32749;2019-11-19;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;2019-11-19;Pennsylvania Michigan;2019-11-19
7;empower;33744;2019-11-19;2019-11-19;64591;2019-11-19;Grass-roots Cambridgeshire;Personal Loan Account;Music;2019-11-20;24/7;2019-11-19
8;hacking;8788;2019-11-20;2019-11-19;17337;2019-11-20;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Bedfordshire;2019-11-19;programming hard drive Mexico;2019-11-19
9;synthesizing;20507;2019-11-20;2019-11-19;32367;2019-11-19;tan program;Metal Auto Loan Account;Awesome;2019-11-19;Applications;2019-11-20
10;Checking Account frictionless;45426;2019-11-20;2019-11-19;6337;2019-11-19;orange Trinidad and Tobago Dollar Gorgeous;UAE Dirham;Rubber Mall Investment Account;2019-11-19;Unbranded transmitting;2019-11-19
